Item,Quantity,Supplier,Purchase Link,Cost INR,Cost USD
NOVA 9060100 8000mAh 3.7V Micro LiPo Battery Pack with PCB and 100mm Cable,2,Robu.in,https://robu.in/product/nova-9060100-8000mah-3-7v-lipo-battery-pack/,1178.00,18.70
Two Trees 10mm 100ft High Temperature Heat Resistant Polyimide Koptan Tape Hot,1,Robu.in,https://robu.in/product/10mm-33m-100ft-high-temperature-heat-resistant-polyimide-kapton-tape-hot/,96.00,1.03
328PCS Heat Shrink Tube Insulation Sleeve Flame Retardant 2:1 Electrician Color Heat Shrink Tube Kit,1,Robu.in,https://robu.in/product/328pcs-heat-shrink-tube-heat-shrink-tube-kit/,156.00,1.64
Multi-meter Test Probes Cable Set Test,1,Robu.in,https://robu.in/product/1-month-warranty-1260/,119.00,1.25
Haoyue DT830D LCD Digital Multimeter AC DC Tester With Probes,1,Robu.in,https://robu.in/product/digital-multimeter-small-yellow-color-lcd-ac-dc-measuring-voltage-current/,171.00,1.80
"PCB - JLCPCB minimum order, 5 PCBs, 2 assembled",1 order,JLCPCB,https://jlcpcb.com/,26631.03,280.00
VEIKK VK1200 V2 Drawing Tablet,1,Amazon India,https://www.amazon.in/gp/product/B08G8CKSWK/ref=ox_sc_act_title_1?smid=AD6J8GIVOM2WC&th=1,14999.00,157.70
"CM4104000 - Raspberry Pi Compute Module 4 Lite, 4GB RAM, Wireless",1,element14 India,https://in.element14.com/raspberry-pi/cm4104000/rpi-compute-module-4-lite-4gb/dp/3563487,8881.92,93.40
R25-1001102 standoffs,4,element14 India,https://in.element14.com/harwin/r25-1001102/standoff-hex-f-f-brass-m2-5-11mm/dp/3754478,163.40,1.72
TOTAL - planning total with future currency exchange buffer,,,,54688.73,575.00
